Minimum number of cases,Degrees,Weighted Betweenness,Clustering,Strength,Weighted Closeness ,Weighted Eigenvector ,Upper rand,Lower rand
1,203.5970875639362,218.29908763146224,181.5637229226786,203.74791421277752,186.71764718122375,204.11376690880957,188.26511304346718,181.76026942707983
2,216.08957172303232,233.68873368461095,191.5654306908411,216.35685077390266,197.26993698768604,216.6655821083961,198.91134911024676,191.77305745184134
3,223.8058197947841,242.65351412560688,197.7324834544744,224.0052609507328,203.90705605559307,224.34629626501524,205.640858457555,198.22184236805924
4,225.3026937672273,244.69490725716943,198.01244139987,225.37702866878897,204.3245933347323,225.96610239959642,206.19859154520935,198.381581760738
5,230.3271800549786,250.60210549303153,202.12319194070113,230.45099254115232,208.61774122351954,231.16603657327346,210.6012615198064,202.55696540504653
6,228.96068866461408,249.86284337922305,200.1136165695262,229.09040143900623,206.63563130735997,229.8090299872921,208.7520251247695,200.27559795948048
7,226.76385163789746,248.02120107184714,197.22757076167542,226.94208103980577,203.87143406676418,227.66890570148553,206.0552584110501,197.2868497985629
8,224.7666755827283,246.35300426415162,194.67239220398994,224.94683561737722,201.42339888238695,225.66891741164483,203.63575361114545,194.99310936131707
9,222.9510413880078,245.1906373742974,192.44683863084384,223.19537792901303,199.2840556615404,223.89570922230737,201.5747150974538,192.6572278850433
10,221.36164226461256,244.24319355735037,190.28103951958056,221.65103920984285,197.3596345687241,222.223706202034,199.73727212006656,190.461365782229
11,219.97841261831582,243.28997356463105,188.1946626984074,220.2558734870773,195.47762518179871,220.83797383761515,197.74500896439264,188.70011466180517
12,217.92801910915801,240.92421861749898,185.50128958418975,218.08896541972297,192.928917198597,218.80290245482556,195.33832909845728,185.91319385743776
13,217.60418660928298,240.98258915475913,184.6489050556173,217.7416961217849,192.2120850998719,218.3777472214786,194.4953991809266,185.03371802787402
14,216.41036030515642,240.01399599453055,183.11690214964364,216.52913647193878,190.6893741201508,217.1552992201926,192.933451308143,183.39405316283586
15,215.31732655814093,239.2411579874363,181.63249177240934,215.4593422127742,189.32201805224477,216.10096513427914,191.64504020332862,182.02985270875632
16,214.22838090709698,238.47907951739796,180.19994245687823,214.40198296664195,188.0950885233962,214.98917063025516,190.32793251653317,180.835945787231
17,213.14843803928485,237.68598622934928,178.63765482186216,213.35040364970325,186.71496928215328,213.91800624318142,189.12971146805245,179.38447869717285
18,212.14013212918275,236.88497077363718,177.36600091796737,212.33495882742224,185.45217708802778,212.89392015680016,187.770228480443,177.7738554101756
19,211.11269762087488,236.1253450184132,176.09567553155043,211.32225549787958,184.2229298216902,211.8643784974251,186.56548277937372,176.7041698012188
20,210.22585005798905,235.33834848976397,174.98012249214003,210.49261191353378,183.19998791036136,210.90848328557882,185.66582995498155,175.59391557781538
21,209.3988413102108,234.87188315260659,173.84107894079727,209.66514286395076,182.1212403590613,210.09165047677465,184.65103415899796,174.69877744576877
22,208.5301631708798,234.1416194179964,172.55857165963886,208.7831802153976,181.045074901693,209.22586309630802,183.53623274161203,173.48406891912322
23,207.7632993655066,233.5779049598365,171.6303814298596,208.03577793040353,180.15198165034158,208.45835499969473,182.46120153732141,172.33397380780087
24,206.94235682514278,232.89763057705568,170.5122254012111,207.1577813552743,179.14274500206773,207.5925007398984,181.63209012433043,171.27580473255642
25,206.21316310265433,232.1582739393116,169.50816422778587,206.3672843096948,178.15074238208976,206.82155374209742,180.49689220283747,170.4107505174985
26,205.4263335079502,231.53021955846646,168.4778706577631,205.587855768145,177.11213323893716,206.04703801472144,179.86292716028964,169.33468988241185
27,204.73503607993092,231.07018049284557,167.59669557398777,204.88843640573657,176.26891978880957,205.33473763581168,178.7552130416174,168.4307135294377
28,204.06019797244124,230.5583007320993,166.45333701471725,204.2616597500192,175.45017012720032,204.63981989665012,177.85579437865883,167.55682118516586
29,203.44254231529527,230.09226468818304,165.4787368826017,203.79180425591247,174.63223011213302,203.95011352878853,177.07654737076376,166.59694169826435
30,202.7705426536257,229.535383301436,164.64245499823792,203.16498561113434,173.79113114788868,203.2488775705732,176.35851665910226,165.7528985004126
31,202.20096030432833,229.10618595954966,163.73856292135662,202.57257604244393,172.96098753479714,202.68646966190263,175.61200288940148,164.58763223628992
32,201.458787363211,228.6565973832149,162.82273020825644,201.8297804204392,172.0441308353822,201.91483610372046,174.58902966597532,164.05715087053548
33,200.84081728983531,228.26776632907774,161.96803251115884,201.18819223654816,171.22814961969863,201.27252528685358,173.81191749363978,163.10451789070936
34,200.22572576835813,227.8797014055404,161.262788373212,200.63627086089411,170.5483873430675,200.63149978001485,173.4311160506027,162.38257668059367
35,199.64804841571805,227.50507119805914,160.28138550951937,200.05767394187666,169.656150436293,200.0524267175817,172.211735601037,161.32505407487136
36,199.17490979631427,227.1860072520809,159.57512615687597,199.60204106931587,169.03043902256684,199.6188096963237,171.7237845609062,160.89262218066398
37,198.730224211066,226.68107264825218,159.1255946524415,199.13759609276167,168.52934659106225,199.23608650639665,171.28488741902348,160.52861384349015
38,198.110682720934,226.19564226976945,158.37665621428815,198.48904410624766,167.76504486760066,198.56767962248773,170.55459122152286,159.73994964123554
39,197.57337854759555,226.01682624250043,157.5044577141149,197.97809454633716,167.0450551277094,197.94392960697564,169.93865696908938,158.83277883238932
